naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
HOSTES/A,INFORMATOR,"8,45 €/h neto",MARIBOR,Sprejem in usmerjanje udeležencev na kongresih in konferencah. Pogoj je starost nad 21 let. Prijave pošljite na email podjetja., 1 ," DLJE ČASA (OBČASNO), PO DOGODKIH ", Po dogovoru, 282923 , začasno in občasno delo
HOSTES/A,INFORMATOR,"8,45 €/h neto",CELJE,Sprejem in usmerjanje udeležencev na kongresih in konferencah. Pogoj je starost nad 21 let. Prijave pošljite na email podjetja., 1 ," DLJE ČASA (OBČASNO), PO DOGODKIH ", Po dogovoru, 282922 , začasno in občasno delo
HOSTES/A,INFORMATOR,"8,45 €/h neto",LJUBLJANA,Sprejem in usmerjanje udeležencev na kongresih in konferencah. Pogoj je starost nad 21 let. Prijave pošljite na email podjetja., 1 ," DLJE ČASA (OBČASNO), PO DOGODKIH ", Po dogovoru, 282917 , začasno in občasno delo
DELO NA RECEPCIJI,,PO DOGOVORU,PORTOROŽ,"V hotelu 5* iščejo primerno osebo za delo receptorja. Pogoji: starost nad 18 let, odgovornost in znanje angleškega ter nemškega in italijanskega jezika. Pošljite prijavo na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 282889 , začasno in občasno delo
DELO V KUHINJI,,"5,00 €/h neto",BLED,"Podjetje išče zanesljivo, pošteno, prijazno osebo za pomožna dela v kuhinji.", 1 , PO DOGOVORU , Izmensko, 282875 , začasno in občasno delo
STREŽBA,,"4,65 €/h neto",VODICE,"V gostinskem lokalu iščejo kuharja/ico, kuharskega pomočnika/co in strežaja/ko, ki jih zanima gostinstvo. Pogoji: iščejo osebe z izbrušeno identiteto, take, ki razlikujejo med odtenki dobrega, ljudi, ki so vestni, radoživi, odgovorni in zanesljivi. ", 4 , PO DOGOVORU , Popoldan, 282846 , začasno in občasno delo
DELO V KUHINJI,,"4,65 €/h neto",VODICE,"V gostinskem lokalu iščejo kuharja/ico, kuharskega pomočnika/co in strežaja/ko, ki jih zanima gostinstvo. Pogoji: iščejo osebe z izbrušeno identiteto, take, ki razlikujejo med odtenki dobrega, ljudi, ki so vestni, radoživi, odgovorni in zanesljivi. ", 4 , PO DOGOVORU , Popoldan, 282829 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",KRANJSKA GORA,Pomoč pri strežbi hrane in pijače oz. delo za točilnim pultom. Pogoj je starost nad 18 let. Povrnjeni so tudi stroški prevoza. Vloge pošljite na e-mail., 2 , DLJE ČASA (OBČASNO) , Izmensko, 282823 , začasno in občasno delo
DELO V IGRALNICI,VALEJ/VALEJKA,"5,07 €/h neto",KRANJSKA GORA,VALE/VALEJKA (pomočnik v strežbi). Pogoja sta starost nad 18 let ter smisel za delo z ljudmi. Povrnjeni so tudi stroški prevoza., 2 , PO DOGOVORU , Izmensko, 282822 , začasno in občasno delo
STREŽBA,,"4,65 €/h neto",LJUBLJANA,"Priprava in strežba pijač (kave in ostalih napitkov) ter prigrizkov (sendviči, enolončnice). Zaželene so izkušnje. Urna postavka se giblje med 5,5 in 6 € bruto/h (4,65 - 5,07 € neto). Prijavo pošlji na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 282811 , začasno in občasno delo
STREŽBA,POMOČ V GOSTINSTVU,"6,00 €/h neto",LJUBLJANA,"Pomoč v strežbi pijač in slaščic v urejeni in simpatični slaščičarni. Urnik dela je odvisen od vašega časa, lahko tudi samo 1 x tedensko. Urna postavka se giblje med 7,10 in 9,47 € bruto, odvisno od uspešnosti. Pogoj je starost nad 20 let.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 282796 , začasno in občasno delo
BLAGAJNIK,POLNJENJE POLIC,"4,65 €/h neto",KAMNIK - PEROVO,"Trgovsko podjetje potrebuje polnoletno osebo za delo v trgovini (polnjenje polic, pomoč strankam, blagajna, čiščenje ...). Delo je izmensko (glede na delovnik trgovine).", 2 , DLJE ČASA (OBČASNO) , Izmensko, 282583 , začasno in občasno delo
ADMINISTRATIVNA DELA,PREVAJANJE,"5,00 €/h neto",PO DOGOVORU,"Prevod obstoječih slovenskih tekstov v češki jezik. Odlično poznavanje češkega jezika in zelo dobro poznavanje slovenskega. Kasneje možnost dela na češki spletni trgovini (support emaili/telefon, razvoj, kontaktiranje medijev, sestanki, socialni mediji) ali dolgoročno vodenje češkega trga (country manager) - možnost redne zaposlitve. Znanje jezika se bo preverjalo.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 282561 , začasno in občasno delo
DELO NA BENCINSKEM SERVISU,,"5,00 €/h neto",LJUBLJANA NOVE JARŠE,Iščejo več polnoletnih oseb za delo na bencinskem servisu (večinoma delo na blagajni; zelo malo pa delo v avtopralnici). Urna postavka je začetna., 3 , DLJE ČASA (OBČASNO) , Izmensko, 282476 , začasno in občasno delo
POMOČ V KUHINJI,POMIVALEC,"4,65 €/h neto",PORTOROŽ,POMIVALEC., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 282384 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",LJUBLJANA,Za pomoč v strežbi podjetje išče osebo s smislom za gostinstvo. Delovnik je stvar dogovora (lokal obratuje od 8. do 21. ure). Nudijo možnost dolgotrajnega sodelovanja in kasnejše redne zaposlitve. Redno in stimulativno plačilo., 2 , PO DOGOVORU , Po dogovoru, 282344 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA-ŠIŠKA,"Iščejo prijetno osebo, da se pridruži njihovemu kolektivu pri delu v manjšem lokalu. Pogoj je polnoletnost.", 1 , PO DOGOVORU , Po dogovoru, 282246 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",CELJE,Prijetna kavarna v nakupovalnem središču išče osebo za samostojno delo v strežbi. Pogoj je starost nad 18 let in izkušnje., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 282226 , začasno in občasno delo
POMOČ V STREŽBI,,"4,99 €/h neto",KOMEN,"Pomoč v strežbi, priprava napitkov, lažje čiščenje ipd. Delo poteka po dogovoru. Urna postavka se lahko zviša - po dogovoru.", 3 , PO DOGOVORU , Izmensko, 282191 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LOGATEC,"Podjetje išče prijazno in komunikativno osebo za strežbo v prijetnem lokalu. Pomoč potrebujejo med vikendi oziroma tudi med tednom (po dogovoru).  Pogoji: polnoletnost, smisel za delo z ljudmi, poštenost, urejenost in lasten prevoz. Zaželene so izkušnje, niso pa pogoj. Prijave sprejemajo na telefon ali e-naslov.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 282107 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",ROGAŠKA SLATINA,Iščejo kandidata/ko za strežbo pijač in narezkov. Delovnik je po dogovoru., 1 , DLJE ČASA (OBČASNO) , Med vikendom, 282006 , začasno in občasno delo
KLICNI CENTER,,"5,50 €/h neto",LJUBLJANA,Delo v klicnem centru. Plačilo je urna postavka + stimulacija od prometa., 3 , DLJE ČASA (OBČASNO) , Popoldan, 281775 , začasno in občasno delo
POUČEVANJE,,"9,00 €/h neto",ŠKOFJA LOKA Z OKOLICO,Podjetje išče več študentov 1. ali. 2. stopnje nemškega jezika za poučevanje nemščine za odrasle na območju Škofje Loke. Zaželene so izkušnje pri poučevanju odraslih. Prijave s priloženim življenjepisom sprejemajo na e-mail., 3 , PO DOGOVORU , Popoldan, 281733 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",ZGORNJA POLSKAVA,Podjetje potrebuje osebo za delo v gostinskem lokalu. Pogoj je starost nad 18 let. Urna postavka med vikendi je višja., 1 , PO DOGOVORU , Po dogovoru, 281592 , začasno in občasno delo
POMOČ V KUHINJI,,"5,07 €/h neto",DOMŽALE,"Iščejo osebo za pomoč pri delu v kuhinji. Pogoja: izkušnje z delom v kuhinji, starost nad 18.let.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 281371 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",KAMNIK,"Iščejo polnoletno osebo za delo v strežbi. Pogoji: prijaznost, resnost, urejenost. Plačilo od 6 €/h bruto dalje.", 4 , DLJE ČASA (OBČASNO) , Izmensko, 281301 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,92 €/h neto",LJUBLJANA,"Strežba v gostilni, med vikendi in med tednom. Pogoji: starost nad 18 let, znanje angleškega jezika in izkušnje s strežbo hrane.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 281292 , začasno in občasno delo
TRŽENJE,,"5,07 €/h neto",ŠKOFLJICA,"Trženje prehrane in prehranskih dopolnil. Pogoj je starost nad 18 let, zaželeno pogovorno znanje nemškega jezika.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 281183 , začasno in občasno delo
POUČEVANJE,,"12,68 €/h neto",ROGAŠKA SLATINA,Podjetje potrebuje študenta/tko za poučevanje nemškega jezika. Pogoj: študent/tka nemščine (germanistike). Zaželena so pedagoška znanja., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 281181 , začasno in občasno delo
ADMINISTRATIVNA DELA,PREVAJANJE,"4,50 €/h neto",LJUBLJANA,"Spletna trgovina išče zanesljivega študenta/ko za prevod obstoječih slovenskih tekstov v madžarski jezik (opisi produktov, pr članki, oglasi). Iščejo osebo z odličnim poznavanjem madžarskega jezika in zelo dobrim poznavanjem slovenskega. Kasneje možnost dela na madžarski spletni trgovini (support emaili/telefon, razvoj, kontaktiranje medijev, sestanki, socialni mediji) ali dolgoročno vodenje madžarskega trga (country manager). Znanje jezika se bo preverjalo. CV pošljite na email.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 281167 , začasno in občasno delo
DELO S STRANKAMI,FINANČNE STORITVE,PO DOGOVORU,LJUBLJANA,"Za tržno usmerjene in komunikativne študente,ki jih zanima delo na finančnem področju,vlaganje v vrednostne papirje,ter izboljšati svoje sposobnosti organizacije in vodenja.Če se najdete v zgornjem opisu, in imate željo po novem znanju s področja finančnega trga vas vabijo k prijavi. Iščejo fleksibilnost,odgovornost,komunikacijske sposobnosti,veselje do učenja.Delo pod vodstvom mentorja, šolanje za državni izpit, možnost kariernega razvoja,napredovanja,fleksibilen delavni čas,možnost zaposlitve.", 5 , PO DOGOVORU , Po dogovoru, 280955 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",ŽALEC,"Iščejo osebo za pomoč pri strežbi pijače. Zaželena je starost nad 18 let. Urna postavka je od 5,92 do 7,10 € bruto. Delo poteka po dogovoru, nedelje in praznike je prosto.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 280803 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",ŠKOFJA LOKA,Pogoja: izkušnje in polnoletnost. Delovnik po dogovoru s podjetjem. Plačilo je 5 €/h bruto oz. po dogovoru. Nudijo tudi stanovanje., 1 , DLJE ČASA (OBČASNO) , Izmensko, 280798 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",JESENICE,"Strežba pijače. Pogoji: starost nad 18 let, urejenost, komunikativnost in smisel za čistočo. Zaželene so izkušnje niso pa pogoj.", 2 , PO DOGOVORU , Po dogovoru, 280733 , začasno in občasno delo
ZDRAVSTVENA NEGA,,"4,13 €/h neto",JESENICE,Tehnik zdravstvene nege. Pogoj: dijak/inja zadnjega letnika. Kasneje možnost redne zaposlitve., 1 , DLJE ČASA (OBČASNO) , Izmensko, 280683 , začasno in občasno delo
DELO V ZDRAVSTVU,,"4,13 €/h neto",JESENICE,Bolničar - negovalec. Pogoj: dijak/inja zadnjega letnika. Kasneje možnost redne zaposlitve., 1 , DLJE ČASA (OBČASNO) , Izmensko, 280675 , začasno in občasno delo
PROGRAMIRANJE,,PO DOGOVORU,ŠKOFJA LOKA,Podjetje išče front-end programerja za sodelovanje pri razvoju spletne aplikacije. Zaželeno je poznavanje frameworka Vue.js. Ob prijavi pošjite vaše referenčne projekte in vašo vlogo v posameznih projektih., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 280498 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",HRUŠICA (PRI PODGRADU),"Delo v strežbi nudijo zanesljivi, prijazni in komunikativni osebi. Izkušnje niso potrebne. Pogoj je starost nad 18 let.   Urnik dela je možno kombinirati na vse načine. Urna postavka je začetna, nadaljnje plačilo odvisno je odvisno od znanja/izkušenj. Nudijo tudi možnost nastanitve v apartmaju.", 1 , PO DOGOVORU , Po dogovoru, 280433 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",CELJE,"Podjetje potrebuje vestno, komunikativno in zanesljivo osebo za delo v strežbi. Delo bo potekalo nekaj ur dnevno, v popoldanskem času do 17. ure.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 280390 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",CELJE,"Podjetje potrebuje vestno, komunikativno in zanesljivo osebo za delo v strežbi. Pogoj so izkušnje z delom v strežbi. Delovni čas je po dogovoru in potrebi.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 280389 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",ŠTORE,"Podjetje potrebuje polnoletno, zanesljivo, komunikativno ter vestno osebo za delo v strežbi. Gre za delo v popoldanskem in dopoldanskem času, oz. po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU ", Izmensko, 280311 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA BEŽIGRAD,Pogoj je starost nad 18 let. Dela se 3-4x tedensko. Lokal je odprt do 20. ure. Zaželene izkušnje s strežbo., 1 , DLJE ČASA (OBČASNO) , Popoldan, 279986 , začasno in občasno delo
POMOČ V STREŽBI,,"4,22 €/h neto",MENGEŠ,Iščejo polnoletno osebo za pomoč v strežbi. Delo poteka med vikendi., 1 , DLJE ČASA (OBČASNO) , Med vikendom, 279892 , začasno in občasno delo
PRODAJA,,"4,65 €/h neto","LJUBLJANA RUDNIK, LJUBLJANA  FUŽINE","Podjetje potrebuje polnoletni osebi za pomoč pri prodaji. Bruto urna postavka za delo ob nedeljah znaša 8,28 €, za delo od ponedeljka do petka pa 5,50 €. Izkušnje niso potrebne.", 2 , PO DOGOVORU , Po dogovoru, 279839 , začasno in občasno delo
POMOČ V STREŽBI,,"5,40 €/h neto",PODČETRTEK,Iščejo osebo za pomoč v strežbi. Delo bo potekalo po dogovoru. Urna postavka je odvisna od izkušenj., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 279475 , začasno in občasno delo
STREŽBA,,"6,76 €/h neto",LJUBLJANA,"Podjetje išče osebo za strežbo, starejšo od 18 let z izkušnjami z delom v strežbi pijač.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 279144 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",STRANICE,"Iščejo študenta/ko za delo v strežbi. Pogoja: starost nad 18 let, izkušnje v strežbi.", 1 , OBČASNO , Izmensko, 279023 , začasno in občasno delo
POMOČ V STREŽBI,,"4,50 €/h neto",LJUBLJANA,Za pripravo in strežbo zajtrkov v hotelu potrebujejo zanesljive osebe., 3 , DLJE ČASA (OBČASNO) , Dopoldan, 278914 , začasno in občasno delo
DEGUSTACIJE,,"4,39 €/h neto",NOVA GORICA,"Podjetje išče komunikativne in energične promotorje/ke, hostese in animatorje/ke. Delo poteka predvsem ob koncu tedna (četrtek, petek, sobota), zaželen lastni prevoz. Dela se v trgovskih centrih. Plačilo: fiksno + stimulacija, plačan tudi prevoz na delo- 0,15 €/km. Pošlji prijavo za delo na email naslov.", 3 , DLJE ČASA (OBČASNO) , Med vikendom, 278741 , začasno in občasno delo
DEGUSTACIJE,,"4,39 €/h neto",MARIBOR,"Podjetje išče komunikativne in energične promotorje/ke, hostese in animatorje/ke. Delo poteka predvsem ob koncu tedna (četrtek, petek, sobota), zaželen lastni prevoz. Dela se v trgovskih centrih. Plačilo: fiksno + stimulacija, plačan tudi prevoz na delo- 0,15 €/km. Pošlji prijavo za delo na email naslov.", 5 , DLJE ČASA (OBČASNO) , Med vikendom, 278740 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA ZALOG,"Podjetje išče polnoletno, komunikativno in prijazno osebo za delo v strežbi.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 278728 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUTOMER,Podjetje potrebuje osebo za strežbo. Pogoja sta starost nad 18 let in izkušnje. Delo poteka med vikendom v dopoldanskem času., 1 , PO DOGOVORU , Med vikendom, 278371 , začasno in občasno delo
DELO V DELAVNICI,,PO DOGOVORU,DUTOVLJE,"Podjetje vabi k sodelovanju strojnike - oblikovalce kovin s poznavanjem osnov orodjarstva ter obdelave kovin (vrtanje, struženje, rezkanje, brušenje, montaža ...). Pogoja: strojna smer izobraževanja ter starost nad 18 let.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 278312 , začasno in občasno delo
STREŽBA,,"5,49 €/h neto",ŠMARTNO PRI LITIJI,Podjetje potrebuje polnoletno osebo za samostojno delo v strežbi. Streže se samo pijača. Ob nedeljah imajo zaprto., 2 , PO DOGOVORU , Izmensko, 277996 , začasno in občasno delo
BLAGAJNIK,POLNJENJE POLIC IN BLAGAJNIK,"4,13 €/h neto",KRANJ,"Znana drogerija išče pridne, zanesljive, komunikativne, prijazne, natančne in poštene osebe za delo na blagajni in Pogoj: polnoletnost. Prijavo pošlji na e-mail.", 6 , DLJE ČASA (OBČASNO) , Izmensko, 277892 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",DOL PRI LJUBLJANI,Podjetje išče polnoletno osebo za občasno delo v strežbi pijače. Nedelje in prazniki so prosti. Plačila so redno vsak mesec., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 277693 , začasno in občasno delo
DELO NA RECEPCIJI,BLAGAJNIK V IGRALNEM SALONU,"4,65 €/h neto",PORTOROŽ,"Podjetje išče primerne kandidate za delovno mesto receptorja/blagajnika v casinoju. Pogoji: polnoletnost in pogovorno znanje italijanskega jezika. Delo v mladem, ustvarjalnem kolektivu z možnostjo kasnejše zaposlitve. Nočno delo 6,5 € bruto/h. Delo lahko opravljate tudi samo med poletnimi počitnicami.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 277674 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,00 €/h neto",PODZEMELJ,Strežba hrane in pijače v šanku in občasno na terenu., 2 , PO DOGOVORU , Po dogovoru, 277628 , začasno in občasno delo
POMOČ V STREŽBI,,"4,23 €/h neto",ŠKOCJAN,, 2 , POL LETA , Izmensko, 277528 , začasno in občasno delo
STREŽBA,,"5,10 €/h neto",LJUBLJANA BTC,Lokal je na bencinskem servisu. Ob nedeljah je odprt le do 15., 1 , DLJE ČASA (OBČASNO) , Izmensko, 277417 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",PIRAN,Delo v mirnem lokalu. Delo poteka v treh izmenah. Pogoj je starost nad 18 let. Zaželene vsaj minimalne izkušnje s strežbo in pripravo kave., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 277397 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",ZABUKOVICA,Iščejo pridno in pošteno osebo za pomoč v strežbi. Pogoj je starost nad 18 let., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 277268 , začasno in občasno delo
STREŽBA,,"5,92 €/h neto",LJUBLJANA - DRAVLJE,"Delo v restavraciji ali na bowlingu. Zelo se trudijo, da svoje produkte in storitve, ki vključujejo restavracijo, bowling, lounge, letni vrt, približajo željam gostov. V restavraciji nudijo moderno kuhinjo, ki temelji na svežih sezonskih sestavinah. Pogoji: starost nad 18 let, izkušnje, samostojnost pri delu, komunikativnost, osebna urejenost in veselje do dela s strankami.", 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 277036 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,PO DOGOVORU,LJUBLJANA - CENTER,"Izkušnje v strežbi so zaželjene, niso pa pogoj. Plačilo po dogovoru in glede na izkušenost.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 276737 , začasno in občasno delo
DEGUSTACIJE,,"4,39 €/h neto",KOPER,"Podjetje išče komunikativne in energične promotorje/ke, hostese in animatorje/ke. Delo poteka predvsem ob koncu tedna (četrtek, petek, sobota), zaželen lastni prevoz. Dela se v trgovskih centrih. Plačilo: fiksno + stimulacija, plačan tudi prevoz na delo. Pošlji prijavo za delo na email naslov ali pokliči.", 5 , DLJE ČASA (OBČASNO) , Med vikendom, 276661 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",RADOMLJE,Iščejo dve polnoletni osebi za strežbo v prijetnem športnem ambientu., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 276574 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",IZLAKE,Strežba pijač v dnevnem lokalu., 4 , PO DOGOVORU , Po dogovoru, 276573 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",ZAGORJE,Strežba pijač v dnevnem lokalu., 3 , PO DOGOVORU , Po dogovoru, 276572 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA - KAMPUS,"Potrebujejo osebo za strežbo pijače in hrane (pice). Delo poteka med tednom. Sobote, nedelje in prazniki so prosti. Izkušnje so zaželene, niso pa pogoj. Prijave sprejemajo na elektronski naslov ali preko telefona.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 276371 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",CELJE,Iščejo polnoletno osebo za pomoč v strežbi. Delovni čas je po dogovoru., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 276340 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",CERKNIŠKO JEZERO,"Priložnost za delo študenta/študentke, ki ima veselje do dela v strežbi. Delo poteka v teamu. Izkušnje so zaželene, niso pa pogoj. Povrnejo tudi potne stroške.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 276311 , začasno in občasno delo
VALEJ/VALEJKA,,"5,07 €/h neto",BLED,"Valej/ka v igralnici. Pogoji: starost nad 18 let, znanje tujih jezikov, izkušnje v gostinstvu, prijaznost in natančnost. Možnost nagrajevanja. Možnost redne zaposlitve.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 276265 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"OD 5,50 € DO 7,00 € BRUTO/H",LJUBLJANA,"Priprava in prodaja hitro pripravljene hrane in pijače. Iščejo osebi, ki sta vredni zaupanja, vestni, natančni, imata delovne navade, sta redoljubni in imata željo po novem znanju ter veselje do dela z ljudmi. Izkušnje niso potrebne, so pa zaželene. Uvajanje traja cca.14 dni. Delo je izmensko in poteka med vikendom.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 276161 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"4,65 €/h neto",TRZIN,Delo v piceriji. Pogoj je starost nad 20 let. Zaželene so izkušnje z delom v strežbi., 2 , POČITNIŠKO DELO , Po dogovoru, 276141 , začasno in občasno delo
STREŽBA,,"5,49 €/h neto",KRANJ,Strežba hrane in pijače. Pogoj je starost nad 18 let. Zaželene so izkušnje., 1 , DLJE ČASA (OBČASNO) , Izmensko, 275944 , začasno in občasno delo
POMOČ V STREŽBI,,"6,00 €/h neto",ŠMARJE SAP,"Potrebujejo polnoletno osebo za delo v strežbi. Zaželene so izkušnje, niso pa pogoj.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 275774 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",VOJNIK,Iščejo osebo za delo v strežbi., 1 , PO DOGOVORU , Po dogovoru, 275625 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,73 €/h neto",MLAKA PRI KRANJU,Podjetje išče osebo za enostavnejša dela v proizvodnji mesnih pripravkov - kebabov. Delo zahteva rokovanje z nožem  in poteka stoje. Pogoj je starost nad 16 let., 3 , DLJE ČASA (OBČASNO) , Dopoldan, 275607 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,13 €/h neto",LJUBLJANA,"Podjetje išče polnoletne osebe za delo v trgovini z modnimi oblačili in dodatki (delo na blagajni, pomoč strankam,, urejanje trgovine ...). Delo je izmensko (tudi vikendi). Pogoji: končana srednja šola, veselje in želja do dela. Zaželene so izkušnje.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 275406 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",KISOVEC,"Strežba pijač in toplih napitkov v čisto novem in zelo prijetnem lokalu. Zaželena dekleta in fantje od 18.leta dalje. Lahko ste brez izkušenj, oziroma že vešči strežbe. Pomembne so samo vaša komunikativnost, urejenost in veselje do dela s strankami.", 5 , PO DOGOVORU , Po dogovoru, 275320 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",SEŽANA,"Želiš delati v mladem kolektivu? Nimaš izkušenj? Ni problema, z veseljem te bodo naučili postreči dobro kavo. Pomembno je le, da te zanima ta poklic in imaš veselje do dela, si odgovoren/a in zanesliv/a. Če imaš to, lahko tvoja urna postavka postane veliko višja.", 2 , PO DOGOVORU , Po dogovoru, 275197 , začasno in občasno delo
PROGRAMIRANJE,,PO DOGOVORU/PROJEKTU,LJUBLJANA,"Zaželeno poznavanje: PL/SQL, JAVASCRIPT, C,C++, CPro,ter SHELL, UNIX, LINUX, Android, PhoneGap, SPRINGFRAMEWORK, WEBSERVICES, Oracle. Zaželeno dobro znanje angleškega jezika in vozniški izpit B kategorije. Prednost imajo študenti Fakultete za računalništvo in informatiko/elektrotehniko/matematiko in fiziko ali druga sorodna smer študija.", 1 , PO DOGOVORU , Po dogovoru, 275186 , začasno in občasno delo
POUČEVANJE,,"8,45 €/h neto",LJUBLJANA,Športno plezalni klub išče inštruktorja oz. vaditelja športnega plezanja. Prednost imajo študenti/ke fakultete za šport., 1 ," PO DOGOVORU, DLJE ČASA ", Popoldan, 275174 , začasno in občasno delo
DELO NA TERENU,SPREMLJEVALEC SMETARSKEGA VOZILA,"6,00 €/h neto","BOROVNICA, VRHNIKA, LOG-DRAGOMER","SPREMLJEVALEC SMETARSKEGA VOZILA - fizično delo na terenu (pobiranje odpadkov). Zaželeno je, da je kandidat/ka doma iz bližnje okolice.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 275096 , začasno in občasno delo
POMOČ V STREŽBI,,"5,50 €/h neto",OBRIJE - BLIŽINA NOVIH JARŠ,"Zaželene izkušnje v gostinstvu. Predvsem pa delavnost, poslušnost, hitro učenje...", 2 ," PO DOGOVORU, DLJE ČASA ", Po dogovoru, 275076 , začasno in občasno delo
POMOČ V STREŽBI,,"4,50 €/h neto",PODGORICA,"Izkušnje niso potrebne, so pa zaželene. Delovni čas je prilagodljiv.", 3 , PO DOGOVORU , Po dogovoru, 275013 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,13 €/h neto",METLIKA,"Iščejo več samostojnih, resnih, zanesljivih, fleksibilnih in odgovornih oseb za pomoč pri prodaji v trgovini z delikateso. Delo poteka med tednom izmensko in tudi med vikendi, z urnikom po dogovoru.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 274858 , začasno in občasno delo
ANKETIRANJE,,"4,97 €/h neto",LJUBLJANA,"Mlada ekipa išče nove sodelavce na področju izvajanja kratkih telefonskih anket. Delo poteka med tednom v popoldanskem času. Javijo naj se samo resni kandidati, ki imajo čas vsaj 2x tedensko. Zaželeni sta pozitivna in timska naravnanost. Izkušnje niso potrebne.", 2 , DLJE ČASA (OBČASNO) , Popoldan, 274813 , začasno in občasno delo
