naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela
ADMINISTRATIVNA DELA,,"4,22 €/h neto",LJUBLJANA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri izvedbi projekta vzpostavitve NTO operativnega centra (operativno-administrativna pomoč = sledenje, posodabljanje časovnice aktivnosti, komunikacija s kadrovsko glede vseh on-boardingov, hiring postopkov, posodabljanje rednih poročil). Urna postavka od 5 do 6 € bruto. Prijavo s CV pošljite na e-naslov (obvezen pripis šifre dela).", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308892 , začasno in občasno delo
ADMINISTRATIVNA DELA,STROKOVNA ADMIN. DELA,"4,22 €/h neto",LJUBLJANA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri operativno/administrativnih delih (organizacija sestankov, komunikacija z vodji, pomoč kadrovski službi, priprava poročil). Prednost kandidati s poznavanjem SAP-a. Dopoldanski delovnik. Urna postavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Prijavo s CV-jem pošljte na e-naslov (obvezen pripis šifra dela).", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308890 , začasno in občasno delo
PRODAJA,,"5,00 €/h neto",LJUBLJANA,Podjetje išče vestno in komunikativno osebo za prodajo bio izdelkov na tržnici (v notranjih prostorih). Delo poteka le ob sobotah v dopoldanskem času., 1 , DLJE ČASA (OBČASNO) , Med vikendom, 308889 , začasno in občasno delo
ADMINISTRATIVNA DELA,STROKOVNA ADMIN. DELA,"4,22 €/h neto",LJUBLJANA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč na globalnem projektu podjetja (opravljanje analiz, razna administrativna dela). Pogoj. odlično - napredno znanje Excela ter odlično znanje angleškeja jezika. Urna potavka od 5 do 6 € bruto (odvisno od predznanja, motivacije). Možnost kasnejše redne zaposlitve. Prjavo s CV pošljite na e-naslov (pripišite še šifro dela).", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308888 , začasno in občasno delo
PRODAJA,,"5,00 €/h neto",LJUBLJANA,Iščejo osebo za prodajo hrane. Zaželene izkušnje. Delovni čas po dogovoru., 1 , DLJE ČASA (OBČASNO) , Izmensko, 308887 , začasno in občasno delo
BLAGAJNIK,DELO V TRGOVINI,"5,07 €/h neto",LUCIJA,Podjetje išče več oseb za delo v trgovini in za delo na blagajni. Pogoj je starost nad 18 let. Nedelje plačane 8 €/h bruto., 4 , DLJE ČASA (OBČASNO) , Izmensko, 308886 , začasno in občasno delo
DELO NA SEJMU,,"5,00 €/h neto",LJUBLJANA CENTER,"Podjetje išče študente/ke za delo na novoletnem sejmu. Pogoji: pozitivnost, volja do dela in znanje angleškega jezika (zaželeno tudi italijnskega, a ni pogoj). Urnik prilagodljiv. Redno plačilo in možnost stimulacije. Prijave sprejemajo na e-mail.", 1 , DO 05.01.2020 , Po dogovoru, 308885 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",LJUBLJANA,Iščejo osebo za pomoč v strežbi. Zaželene izkušnje. Delovni čas po dogovoru., 2 , DLJE ČASA (OBČASNO) , Izmensko, 308884 , začasno in občasno delo
BLAGAJNIK,,"5,07 €/h neto",LJUBLJANA,Trgovsko podjetje išče polnoletne kandidate za delo na blagajni v trgovskem centru. Fleksibilen delovnik., 5 , DLJE ČASA (OBČASNO) , Izmensko, 308882 , začasno in občasno delo
PAKIRANJE,,"4,65 €/h neto",LJUBLJANA,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč v pakirnici trdnih izdelkov (pomoč na ročni liniji, pomoč pri sprejemu novo zaposlenih, skrb za zaloge proizvodne opreme). Delo poteka v dopoldanski izmeni. Začetna urna postavka je 5,5 € bruto.¨Prijavo s CV pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308881 , začasno in občasno delo
MODEL,,PO DOGOVORU,LJUBLJANA -  PO SLOVENIJI,Potrebujejo dve polnoletni osebi za snemanje (video in foto) materiala različnih blagovnih znamk. Organiziran prevoz iz Ljubljane. Kratko prijavo s kontakntno številko pošlji na mail., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 308880 , začasno in občasno delo
HOSTES/A,,"8,45 €/h neto",CELJE,Delo hostes/a na dogodku. Trajanje od 22. do 2. ure ponoči. Prijavo pošljite na email podjetja. Pogoj je starost nad 18 let., 6 , 31. 10. 2019 , Po dogovoru, 308879 ,
STREŽBA,,"5,00 €/h neto",KRANJ,Pomoč v strežbi v kavarni in na prireditvah. Pogoj je starost nad 18 let in izkušnje., 1 , DLJE ČASA (OBČASNO) , Izmensko, 308876 , začasno in občasno delo
