naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
STREŽBA HRANE IN PIJAČE,"ZASIP, PODHOM", 1 , Izmensko, začasno in občasno delo, 293812 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"V okrepčevalnici, v prijetnem okolju, iščejo osebo za pomoč pri strežbi pijače in nekaj malega hrane. Izkušnje niso pogoj. Vse se da priučiti. Nudijo tudi namestitev za minimalni prispevek.","6,00 €/h neto"
POSPEŠEVANJE PRODAJE,PTUJ Z OKOLICO, 2 , Po dogovoru, začasno in občasno delo, 293811 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve polnoletni osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,ZASAVJE, 2 , Po dogovoru, začasno in občasno delo, 293810 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve polnoletni osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,SPODNJE POSAVJE, 2 , Po dogovoru, začasno in občasno delo, 293809 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče polnoletni osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,JESENICE, 2 , Po dogovoru, začasno in občasno delo, 293808 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,LJUBLJANA, 2 , Po dogovoru, začasno in občasno delo, 293806 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,CELJE, 2 , Po dogovoru, začasno in občasno delo, 293805 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve polnoletni osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov.  Prijave sprejemajo na e-mail.,PO DOGOVORU
POSPEŠEVANJE PRODAJE,MARIBOR, 2 , Po dogovoru, začasno in občasno delo, 293804 , DLJE ČASA (OBČASNO) ,POSPEŠEVANJE PRODAJE,PRODAJA,Podjetje išče dve osebi za pospeševanje prodaje kataloške kozmetike ter promocijo z iskanjem novih članov. Prijave sprejemajo na e-mail.,PO DOGOVORU
HOSTES/A,MARIBOR, 5 , Popoldan, začasno in občasno delo, 293801 , DLJE ČASA (OBČASNO) ,HOSTES/A,PROMOCIJA,"Podjetje išče komunikativne, vestne in zanesljive osebe za izvajanje hostesinih del v najboljši marketinški agenciji leta. Dela se na zanimivih dogodkih. Zaželene so izkušnje.Pričetek dela takoj. Prijave sprejemajo na elektronski naslov, kratek opis.","5,49 €/h neto"
STREŽBA,"DVORJE, CERKLJE NA GORENJSKEM", 2 , Izmensko, začasno in občasno delo, 293798 , ZA DLJE ČASA (OBČASNO) ,STREŽBA,,"Komunikativnost, vestnost. Izkušnje so zaželjene. Pogoj je starost nad 18 let.","5,07 €/h neto"
STREŽBA,JUROVSKI DOL, 2 , Popoldan, začasno in občasno delo, 293793 , PO DOGOVORU ,STREŽBA,,"Podjetje išče marljive, poštene osebe za delo v lokalu. Predhodnje izkušnje niso pogoj. Delovni čas je po dogovoru (le popoldan). Plačilo: 4,89 do 7 € bruto /h.","4,13 €/h neto"
STREŽBA,MARIBOR LENT, 1 , Izmensko, začasno in občasno delo, 293791 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje slovensko govorečo osebo za strežbo v kavarni na Lentu. Pogoji: starost nad 18 let, izkušnje z delom v strežbi in komunikativnost.","5,49 €/h neto"
ELEKTROTEHNIČNA DELA,LJUBLJANA IN OKOLICA, 1 , Dopoldan, začasno in občasno delo, 293718 , DLJE ČASA (OBČASNO) ,ELEKTROTEHNIČNA DELA,,"Podjetje potrebuje polnoletno osebo za pomoč pri montažah, servisih alarmnih, video, požarnih sistemov. Zaželene izkušnje elektro smeri, nekaznovanost. Možnost kasnejše zaposlitve.","5,92 €/h neto"
STREŽBA,GORNJA RADGONA - MELE, 1 , Po dogovoru, začasno in občasno delo, 293705 , DLJE ČASA (OBČASNO) ,STREŽBA,,Iščejo komunikativno osebo za strežbo v majhnem lokalu v sklopu bencinskega servisa. Lokal je odprt do 21. ure. Poleg urne postavke vam pripada tudi stimulacija.,"5,00 €/h neto"
DELO NA RECEPCIJI,LIPICA, 3 , Po dogovoru, začasno in občasno delo, 293691 ,  PO DOGOVORU ,DELO NA RECEPCIJI,,"Delo na recepciji igralnice: izdaja vstopnic, sprejem gostov, podajanje informacij in usmerjanje gostov.  Pogoja: polnoletnost, pogovorno znanje italijanskega jezika. Poleg navedene urne postavke nudijo še povračilo potnih stroškov, napitnino in izobraževanje. Možnost kasnejše zaposlitve. Za več informacij kar pokličite.","5,07 €/h neto"
POMOČ V STREŽBI,LIPICA, 3 , Po dogovoru, začasno in občasno delo, 293690 , PO DOGOVORU ,POMOČ V STREŽBI,ČIŠČENJE,"Iščejo več oseb za pomoč v restavraciji igralnice - strežba hrane in pijače, priprava in pospravljanje miz. Pogoj: polnoletnost.  Poleg navedene urne postavke nudijo še izobraževanje, povračilo potnih stroškov, napitnino. Možnost kasnejše zaposlitve. Za več informacij kar pokličite.","5,07 €/h neto"
VALEJ/VALEJKA,LIPICA, 3 , Po dogovoru, začasno in občasno delo, 293689 , PO DOGOVORU ,VALEJ/VALEJKA,STREŽBA,"Iščejo več oseb za strežbo pijače v igralnici ter delo v šanku. Pogoja: osnovno znanje italijanskega jezika (možna organizacija tečaja ital. jezika), polnoletnost. Poleg navedene urne postavke nudijo še mentorstvo, povračilo potnih stroškov, napitnino. Možnost kasnejše zaposlitve.","5,07 €/h neto"
POMOČ V KUHINJI,MEDVODE, 2 , Med vikendom, začasno in občasno delo, 293666 , PO DOGOVORU ,POMOČ V KUHINJI,,"Podjetje išče osebo za pomoč v kuhinji, pomoč pri predpripravi hrane, pomivanje posode. Delovnik je fleksibilen. Pogoj je starost nad 18 let.","5,92 €/h neto"
POMOČ V STREŽBI,MEDVODE, 2 , Po dogovoru, začasno in občasno delo, 293665 , PO DOGOVORU ,POMOČ V STREŽBI,,Podjetje potrebuje osebo za pomoč v strežbi in za delo v šanku med tednom popoldan in čez vikend.,"5,92 €/h neto"
POUČEVANJE,ŠKOFJA LOKA, 1 , Po dogovoru, začasno in občasno delo, 293625 , DLJE ČASA (OBČASNO) ,POUČEVANJE,POUČEVANJE PLESA,"Podjetje išče kandidata za poučevanje hip-hopa. Plačilo: od 10,65 do 14,20 €/h bruto. Pogoji: bivši tekmovalec, izkušnje s poučevanjem in smisel za Zaželeno, da je kandidat doma iz Škofje Loke oz okolice.","9,00 €/h neto"
POUČEVANJE,ŠKOFJA LOKA, 1 , Po dogovoru, začasno in občasno delo, 293624 , DLJE ČASA (OBČASNO) ,POUČEVANJE,POUČEVANJE PLESA,"Podjetje išče kandidata za poučevanje plesa za predšolske otroke (otroški plesi). Plačilo: od 10,65 do 14,20 €/h bruto. Pogoji: izkušnje s plesanjem  in s poučevanjem, zanesljivost, komunikativnost in odgovornost.","9,00 €/h neto"
POUČEVANJE,ŠKOFJA LOKA, 1 , Po dogovoru, začasno in občasno delo, 293623 , DLJE ČASA (OBČASNO) ,POUČEVANJE,POUČEVANJE PLESA,"Podjetje išče kandidata za poučevanje baleta za predšolske otroke. Plačilo: od 10,65 do 14,20 €/h bruto. Pogoji: izkušnje s plesanjem baleta in s poučevanjem, zanesljivost, komunikativnost in odgovornost.","9,00 €/h neto"
POMOČ V KUHINJI,ŠENTJAKOB, 1 , Med vikendom, začasno in občasno delo, 293582 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,"Potrebujejo osebo za pomoč v v kuhinji (pomivanje posode, pomoč kuharju ...). Pričetek dela ob 12. uri.","5,00 €/h neto"
DELO V ZDRAVSTVU,ŠKOFJA LOKA, 2 , Po dogovoru, začasno in občasno delo, 293578 , DLJE ČASA (OBČASNO) ,DELO V ZDRAVSTVU,DELO NA TERENU,Podjetje išče osebo za prevoz bolnikov. Pogoj je vozniški izpit B-kategorije ter bivanje v Škofji Loki ali okolici.,"5,49 €/h neto"
POMOČ V STREŽBI,LJUBLJANA, 2 , Po dogovoru, začasno in občasno delo, 293556 , PO DOGOVOR ,POMOČ V STREŽBI,,"Podjetje potrebuje osebo za pomoč v strežbi (pomivanje posode izdaja pijač...). Izkušnje so dobrodošle, ni pa nujno.","4,65 €/h neto"
STREŽBA,LJUBLJANA CENTER, 5 , Izmensko, začasno in občasno delo, 293546 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Delovnik je po dogovoru. Urna postavka je odvisna od izkušenj, lahko gre do 6,5 €/h neto.","4,50 €/h neto"
POMOČ V STREŽBI,LJUBLJANA, 2 , dopoldan, začasno in občasno delo, 293447 , PO DOGOVORU ,POMOČ V STREŽBI,,"Zaradi povečanega obsega dela iščejo okrepitve v strežbi. V svoj team vabijo osebe, ki imajo izkušnje v strežbi, so zanesljive, natančne in odgovorne.  Delovni čas je od 9.00-17.00. Nedelje in praznike imajo zaprto. Nudijo stimulacijo na dobro opravljeno delo.","5,50 €/h neto"
POMOČ V STREŽBI,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 293446 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,POMOČ PRI PRODAJI,"Zaradi povečanega obsega dela iščejo pomoč pri prodaji in strežbi. Iščejo osebo z izkušnjami s strežbo, ki jo veseli delo z zdravo prehrano je natančna, odgovorna in ima profesionalen odnos do sodelavcev in strank. V podjetju na dobro opravljeno delo zagotavljajo tudi stimulacije. Vikende in praznike imajo zaprto.","5,50 €/h neto"
POMOČ V STREŽBI,DOB PRI DOMŽALAH, 1 , Izmensko, začasno in občasno delo, 293437 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,"Za dlje časa iščejo osebo za pomoč v strežbi. Pogoji: poštenost, pridnost, tekoče znanje slovenskega jezika.","4,98 €/h neto"
PROGRAMIRANJE,KOPER, 1 , Po dogovoru, začasno in občasno delo, 293433 , DLJE ČASA (OBČASNO) ,PROGRAMIRANJE,,"Razvoj spletne strani za podjetje, ki se ukvarja z online prodajo. Pogoji: programiranje PHP, poznavanje MYSQL baze in CMS, znanje italijanskega in angleškega jezika, polnoletnost, bivališče v obalni regiji. Prijave in CV sprejemajo na e-mail.","5,07 €/h neto"
MONTAŽA,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 293421 , DLJE ČASA (OBČASNO) ,MONTAŽA,DOSTAVA,Potrebujejo osebo za delo na terenu s službenim vozilom (pomoč pri dostavah in montažah pohištva). Pogoj: vozniški izpit B-kategorije. Prijave sprejemajo na telefon.,"5,07 €/h neto"
POMOČ V STREŽBI,NOVA GORICA, 2 , Izmensko, začasno in občasno delo, 293378 , DLJE ČASA (OBČASNO) ,POMOČ V STREŽBI,,V hotelih potrebujejo več polnoletnih oseb za delo v strežbi.,"4,13 €/h neto"
INŠTRUKCIJE,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 293375 , DLJE ČASA (OBČASNO) ,INŠTRUKCIJE,,Podjetje išče inštruktorja/ico kemije. Nudijo prilagodljiv delovni čas in možnost brezplačnih izobraževanj. Prijave sprejemajo preko spletne strani navedene v podrobnostih oglasa.,"7,61 €/h neto"
POMOČ V TRGOVINI,MARIBOR CENTER, 1 , Po dogovoru, začasno in občasno delo, 293354 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,,Podjetje potrebuje osebo za pomoč v kitajski trgovini v centru Maribora. Pogoj: znanje angleškega jezika. Za razgovor se oglasite osebno v trgovini.,"4,22 €/h neto"
ZDRAVSTVENA NEGA,RADOVLJICA, 2 , Po dogovoru, začasno in občasno delo, 293312 , DLJE ČASA (OBČASNO) ,ZDRAVSTVENA NEGA,,"Pomoč in sodelovanje pri izvajanju zdravstvene nege in oskrbe vseh kategorij oskrbovancev, pomoč pri vzdrževanju ožjega oskrbovančevega okolja in njegovi higienski oskrbi, pomoč pri opazovanju in beleženju stanja oskrbovancev, pomoč oskrbovancem pri gibanju in transferju, pomoč pri transferju zdravstvenega in oskrbnega materiala, pomoč pri vodenju dokumentacije.","5,35 €/h neto"
POMOČ V KUHINJI,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 293290 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,POMIVALEC,Iščejo pomivalca/pomivalko posode. Za prijavo pokliči.,"6,50 €/h neto"
STREŽBA,PODSMREKA PRI LJUBLJANI, 2 , Po dogovoru, začasno in občasno delo, 293278 , DLJE ČASA (OBČASNO) ,STREŽBA,,Iščejo študenta za samostojno delo v strežbi. Pogoj je starost nad 18 let. Možnost redne zaposlitve.,"6,00 €/h neto"
POLNJENJE POLIC,LJUBLJANA RUDNIK, 4 , Med vikendom, začasno in občasno delo, 293263 , DLJE ČASA (OBČASNO) ,POLNJENJE POLIC,,"Polnjenje polic na oddelku pijač, čistilnih praškov ali na oddelku špecerije. Pogoj je znanje slovenskega jezika. Stimulativno plačilo do 5,5 €/h bruto. Pokliči ali pošlji prijavo s kontaktno številko na e-naslov.","4,13 €/h neto"
STREŽBA,MARIBOR CENTER, 1 , Po dogovoru, začasno in občasno delo, 293261 , DLJE ČASA (OBČASNO) ,STREŽBA,,Kavarna v centru Maribora potrebuje simpatično osebo za strežbo. Delovni čas je po dogovoru. Izkušnje so obvezne.,"5,07 €/h neto"
POLNJENJE POLIC,LJUBLJANA BTC, 1 , Izmensko, začasno in občasno delo, 293245 , DLJE ČASA (OBČASNO) ,POLNJENJE POLIC,DELO V TRGOVINI,"Pogoj je starost nad 16 let. Polnjenje polic v trgovini. Med tednom in v soboto je urna postavka 5,5 € bruto, v nedeljo pa 6 € bruto.","4,65 €/h neto"
STREŽBA,IZOLA, 1 , Izmensko, začasno in občasno delo, 293228 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče polnoletno osebo za samostojno delo v strežbi.,"5,00 €/h neto"
ČIŠČENJE,ŽUŽEMBERK, 1 , Po dogovoru, začasno in občasno delo, 293213 , PO DOGOVORU ,ČIŠČENJE,,Za delo niso potrebne izkušnje. Urnik je prilagodljiv vašim obveznostim. Pospravljajo se sobe po odhodu gostov ter  ureditev okolice hiše s prenočišči (pometanje). Poleg urne postavke se doda še stimulacija za dobro opravljeno delo.,"4,30 €/h neto"
STREŽBA,LJUBLJANA VIČ, 2 , Po dogovoru, začasno in občasno delo, 293197 , DLJE ČASA (OBČASNO) ,STREŽBA,,Priprava in strežba pijač.,"6,00 €/h neto"
STREŽBA HRANE IN PIJAČE,PTUJ, 2 , Po dogovoru, začasno in občasno delo, 293188 ," DLJE ČASA (OBČASNO), PO DOGOVORU IN POT ",STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje polnoletni, vestni in zanesljivi osebi za pomoč pri strežbi hrane in pijač v znanem ptujskem gostišču. Delovnik je v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi, tuidi ob vikendih. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.","4,22 €/h neto"
STREŽBA,ŠKOFJA LOKA, 2 , Po dogovoru, začasno in občasno delo, 293186 , PO DOGOVORU ,STREŽBA,,Podjetje išče komunikativne in prijazne kandidate z izkušnjami v strežbi in z veseljem do dela v mladem kreativnem gostilniškem timu.,"4,50 €/h neto"
POMOČ PRI PRODAJI,RIBČEV LAZ, 1 , Po dogovoru, začasno in občasno delo, 293167 , DO 31. 10. 2019 ,POMOČ PRI PRODAJI,,"Potrebujejo osebo za delo v živilski trgovini (delo v trgovini, delo na blagajni, polnjenje polic, čiščenje, pomoč strankam). Delo je izmensko.",PO DOGOVORU
STREŽBA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 293077 ," DLJE ČASA (OBČASNO), MOŽNOST ZAPOSLITVE ",STREŽBA,,Strežba pijače in prigrizkov. Delo je občasno in se prilagaja obveznostim. Pogoji: polnoletnost in komunikativnost.,"5,92 €/h neto"
DELO V KUHINJI,ŽUŽEMBERK, 1 , Po dogovoru, začasno in občasno delo, 293071 , PO DOGOVORU ,DELO V KUHINJI,,"Delo zajema pripravo solat, pomoč kuharju ter pospravljanje delovnega mesta ob zaključku dela. Izkušnje niso obvezne, so pa zaželene. Lahko pa se oseba odloči zgolj za delo v pomivalnici - pomivanje posode.","5,10 €/h neto"
STREŽBA HRANE IN PIJAČE,ŽUŽEMBERK, 1 , Po dogovoru, začasno in občasno delo, 293068 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"Iščejo osebo za občasno delo v strežbi med tednom in/ali vikendi. Izkušnje niso pogoj. so pa zaželene, pravtako tudi znanje angleškega jezika. Urni postavki je dodana še stimulacija. Urnik je prilagodljiv.","5,00 €/h neto"
STREŽBA HRANE IN PIJAČE,SVETI JURIJ OB ŠČAVNICI, 2 , Po dogovoru, začasno in občasno delo, 293060 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Potrebujejo dve osebi za strežbo v piceriji.,"4,67 €/h neto"
STREŽBA,ZGORNJI DUPLEK, 2 , Po dogovoru, začasno in občasno delo, 293026 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje potrebuje dve osebi za pomoč v strežbi. Zainteresirani pokličite ali se osebno oglasite.,"5,50 €/h neto"
STREŽBA,IVANČNA GORICA, 1 , Po dogovoru, začasno in občasno delo, 293012 , DLJE ČASA (OBČASNO) ,STREŽBA,,Strežba pijač in napitkov ter skrb za urejenost manjšega lokala. Izkušnje so zaželene. Obratovalni čas lokala od 7. do 23. ure. Možnost zaposlitve.,"5,00 €/h neto"
POMOČ V KUHINJI,PORTOROŽ, 1 , Izmensko, začasno in občasno delo, 292982 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,Potdjetje išče primerno osebo za pomoč v kuhinji. Pogoj je starost nad 18 let.  Znanje angleškega jezika je zaželeno. Nudijo redno izplačilo in možnost dolgoročnega sodelovanja/zaposlitve. Prijave sprejemajo na e-mail.,PO DOGOVORU
PORTIR,PORTOROŽ, 3 , Izmensko, začasno in občasno delo, 292981 , DLJE ČASA (OBČASNO) ,PORTIR,,"Podjetje išče resne in samoiniciativne študente/ke za delo portirja z željo pridobivanja novih izkušenj v 5*luksuznem hotelu in verigi. Ponujajo redno plačilo, možnost dela v tujini in možnost kasnejše redne zaposlitve. Pogoji: polnoletnost, vozniški izpit, znanje angleškega, italijanskega in nemškega jezika. Izkušnje niso potrebne so pa zaželjene. Življenjepis (v SLO/ANG) pošlji na e-mail.",PO DOGOVORU
STREŽBA HRANE IN PIJAČE,BLED, 1 , Po dogovoru, začasno in občasno delo, 292947 , DO 31. 10. 2019 ,STREŽBA HRANE IN PIJAČE,,"Pomoč v strežbi v restavraciji. Pogoj so izkušnje, resnost, urejenost in lasten prevoz. Možnost redne zaposlitve. Plačilo od 7,10 €/h bruto dalje. Dela se predvsem popoldne - med 16. do 23. uro.","6,00 €/h neto"
POMOČ PRI PRODAJI,BREZOVICA PRI LJUBLJANI, 1 , Po dogovoru, začasno in občasno delo, 292922 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje išče več polnoletnih oseb za pomoč pri prodaji. Bruto urna postavka za delo ob nedeljah je 8,28 € za delo od ponedeljka do sobote pa 5,50 €   Podjetje si želi daljšega sodelovanja.","4,65 €/h neto"
DELO NA TERENU,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 292753 , PO DOGOVORU ,DELO NA TERENU,,"Izvajanje prodajnih aktivnosti na področju D2D prodaje (prodaja od vrat do vrat), terenska prodaja telekomunikacijskih storitev in produktov potencialnim in obstoječim strankam, vzpostavljanje dolgoročnih odnosov s strankami. Iščejo motivirano, komunikativno osebo. Nudijo delo v prijetnem timu, pomoč in usposabljanje, variabilni del plačila.","4,23 €/h neto"
STREŽBA HRANE IN PIJAČE,"DRAŽGOŠE, ŽELEZNIKI", 2 , Po dogovoru, začasno in občasno delo, 292826 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje osebo za delo v šanku ter za strežbo hrane in pijače. Občasno se pomaga v kuhinji in pri čiščenju. Urna postavka je odvisna od  sposobnosti, predanosti in predvsem samostojnosti. Nujen lasten prevoz, saj javnega prevoza ni.","5,00 €/h neto"
STREŽBA,MARIBOR, 2 , Izmensko, začasno in občasno delo, 292784 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Iščejo prijaznega/o in nasmejanega/o natakarja/ico, polnega/o pozitivne energije, da se pridruži njihovi ekipi. Ponujajo odlično delovno okolje, dobro plačilo in dosti dobre energije. Izkušnje so zaželene, če pa jih nimaš, potrebuješ le voljo in pripravljenost, da se od njih naučiš vsega potrebnega. Kaj še čakaš?","5,00 €/h neto"
STREŽBA,LJUBLJANA, 3 , Izmensko, začasno in občasno delo, 292780 , DLJE ČASA (OBČASNO) ,STREŽBA,DELO V SLAŠČIČARNI,"Podjetje potrebuje osebo za strežbo. Zaželene so izkušnje, pogoj je polnoletnost. Prijave sprejemajo na e-naslov.","5,00 €/h neto"
POMOČ V KUHINJI,LJUBLJANA CENTER, 2 , Izmensko, začasno in občasno delo, 292779 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,Podjetje potrebuje člane za pomoč v kuhinji. Zaželene so izkušnje. Vloge pošljite na e-mail.,"4,50 €/h neto"
DELO V KUHINJI,LJUBLJANA, 3 , Izmensko, začasno in občasno delo, 292778 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,POMIVALEC,Podjetje potrebuje pridne osebe za delo  pomivalca. Izkušnje niso potrebne. Kavarna je odprta vse dni v tednu. Prijave sprejemajo na elektronski naslov.,"4,50 €/h neto"
STREŽBA,IZOLA, 2 , Po dogovoru, začasno in občasno delo, 292741 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče 2 osebi za strežbo. Pogoj je starost nad 18 let. Zaželene izkušnje.,"5,00 €/h neto"
PRODAJA,LJUBLJANA - BTC, 5 , Po dogovoru, začasno in občasno delo, 292713 ," DLJE ČASA (OBČASNO),  PO DOGOVORU ",PRODAJA,,"Podjetje potrebuje polnoletne osebe za pomoč pri prodaji. Bruto urna postavka za delo ob nedeljah znaša 8,28 €, za delo od ponedeljka do petka pa 5,50 €. Izkušnje niso potrebne.","4,65 €/h neto"
GRADBENA DELA,GORENJA VAS, 1 , Po dogovoru, začasno in občasno delo, 292669 , DLJE ČASA (OBČASNO) ,GRADBENA DELA,FIZIČNA DELA,"Podjetje išče pridnega, vestnega in zanesljivega kandidata/ko za občasno pomoč pri gradbenih delih (delo na gradbenih strojih). Dela se po po potrebi, delovnik po dogovoru s podjetjem. Plačilo: od 5,33 do 8,28 €/h bruto. Zaželen izpit B kategorjje, ni pogoj. Delo je terensko.","4,50 €/h neto"
STREŽBA,LJUBLJANA PRULE, 2 , Popoldan, začasno in občasno delo, 292610 , DLJE ČASA (OBČASNO) ,STREŽBA,,Strežba pijač v prijetnem lokalu blizu centra Ljubljane. Zaželena je starost nad 18 let. Pokliči ali pošlji prijavo na e-mail. Ob uspešnem delu je plačana tudi stimulacija.,"6,00 €/h neto"
SLIKOPLESKARSKA DELA,ŽIRI Z OKOLICO, 1 , Dopoldan, začasno in občasno delo, 292557 , DLJE ČASA (OBČASNO) ,SLIKOPLESKARSKA DELA,,"Podjetje išče kandidata za pomoč pri slikopleskarskih delih. Pogoji: izpit B kategorije, urejenost in vestnost. Večinoma se dela na območju Žirov in Poljanske doline.","6,76 €/h neto"
STREŽBA,BREG PRI LITIJI, 1 , Po dogovoru, začasno in občasno delo, 292551 , PO DOGOVORU ,STREŽBA,,Iščejo polnoletno osebo za strežbo.,"4,50 €/h neto"
POMOČ PRI PRODAJI,LUCIJA, 1 , Dopoldan, začasno in občasno delo, 292535 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Podjetje išče polnoletno osebo za pomoč v trgovini - mesnici (delo na blagajni, prodaja ...). Delo poteka v dopoldanskem, od cca. 7.00 dalje.","5,07 €/h neto"
INŠTRUKCIJE,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 292505 , DLJE ČASA (OBČASNO) ,INŠTRUKCIJE,,"Podjetje išče inštruktorja/ico STATISTIKE. Nudijo prilagodljiv delovni čas, nagrade in brezplačna izobraževanja. Prijave sprejemajo preko spletne strani, navedene v podrobnostih oglasa.","7,61 €/h neto"
STREŽBA,LJUBLJANA, 1 , Po dogovoru, začasno in občasno delo, 292500 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba hrane, pijače in občasna pomoč dostave hrane. Pogoj: vozniški izpit.","4,50 €/h neto"
STREŽBA,TRENTA, 10 , Izmensko, začasno in občasno delo, 292458 , PO DOGOVORU ,STREŽBA,,Podjetje potrebuje študente/tke za pomoč v strežbi v prelepem okolju Triglavskega narodnega parka. Za čas dela nudijo prenočišče v apartmaju in en topli obrok. Kasneje možnost redne zaposlitve.,"5,07 €/h neto"
STREŽBA,LAZE V TUHINJU, 2 , Izmensko, začasno in občasno delo, 292446 , DLJE ČASA (OBČASNO) ,STREŽBA,,"V novo urejenem lokalu na Lazah v Tuhinju iščejo prijetno, zanesljivo in odgovorno osebo za delo v strežbi. Delo je dvoizmensko. Izkušnje niso pogoj.","4,65 €/h neto"
STREŽBA,PRESTRANEK, 4 , Po dogovoru, začasno in občasno delo, 292403 , PO DOGOVORU ,STREŽBA,,"Strežba hrane in pijače, skrb za red in čistočo. Veselje do dela z ljudmi, delovne izkušnje so zaželene, niso pa pogoj. Možnost dela samo ob vikendih.","5,07 €/h neto"
POMOČ V STREŽBI,PIVKA, 2 , Po dogovoru, začasno in občasno delo, 292381 , DLJE ČASA (PO DOGOVORU) ,POMOČ V STREŽBI,,"V dinamičen kolektiv vabijo nove ljudi za delo v strežbi lokala na bencinskem servisu.Izkušnje so zaželene, niso pa pogoj. Plačilo je po dogovoru, saj zajema tudi malico in povračilo stroškov prevoza. Želijo si daljšega sodelovanja. Za dodatne informacije so vam na voljo.",PO DOGOVORU
DELO S STRANKAMI,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 292363 , 2 TEDNA ALI VEČ ,DELO S STRANKAMI,KLICNI CENTER,"Potrebujejo osebo za komunikacijo s strankami nemškega trga. Native speakerji imajo prednost. Pogoji: odlično znanje nemškega jezika, starost nad 20 let, odgovornost, zanesljivost. Pričetek dela je po dogovoru. Vikendi so dela prosti","6,50 €/h neto"
BLAGAJNIK,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 292301 , PO DOGOVORU ,BLAGAJNIK,,Podjetje išče polnoletne študente/ke za delo na blagajni. Za delo ob nedeljah je postavka 8 € bruto/h.,"5,07 €/h neto"
BLAGAJNIK,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 292299 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne študente/ke za delo na blagajni. Za nedeljsko delo je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
