naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa
HOSTES/A,CELJE, 6 , Po dogovoru,, 308879 , 31. 10. 2019 ,HOSTES/A,,Delo hostes/a na dogodku. Trajanje od 22. do 2. ure ponoči. Prijavo pošljite na email podjetja. Pogoj je starost nad 18 let.,"8,45 €/h neto"
STREŽBA,KRANJ, 1 , Izmensko, začasno in občasno delo, 308876 , DLJE ČASA (OBČASNO) ,STREŽBA,,Pomoč v strežbi v kavarni in na prireditvah. Pogoj je starost nad 18 let in izkušnje.,"5,00 €/h neto"
STREŽBA,ILIRSKA BISTRICA, 1 , Dopoldan, začasno in občasno delo, 308874 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba hrane in pijače v piceriji. Pogoji: starost nad 18 let, izkušnje pri delu s hrano in pijačo, doslednost pri delu z blagajno, komunikativnost, natančnost, urejenost.",PO DOGOVORU
FIGURANT,LJUBLJANA IN OKOLICA, 1 , Dopoldan, začasno in občasno delo, 308873 , DLJE ČASA (OBČASNO) ,FIGURANT,,"Iščejo študenta/tko geodezije za pomoč pri zakoličbi gradbeno inženirskih objektov, geodetskem posnetku izvedenega stanja in ostalih geodetskih delih. Z delom je možno pričeti takoj. Zaželen je vozniški izpit B-kategorije. Možnost tudi kasnejše zaposlitve. Prijave sprejemajo na elektronski naslov ali preko telefona.","4,20 €/h neto"
LAŽJA FIZIČNA DELA,KRANJSKA GORA, 1 , Po dogovoru, začasno in občasno delo, 308872 , DO 31. 3. 2020 ,LAŽJA FIZIČNA DELA,,"Pomoč pri postavitvi inventarja za potrebe raznih dogodkov, pomoč pri prestavitvi pohištva, pomoč pri urejanju okolice (čiščenje odpadlega listja, kidanje snega) in pomoč pri razvozu inventarja in perila.","5,00 €/h neto"
DELO V DELAVNICI,RADOMLJE, 1 , Dopoldan, začasno in občasno delo, 308871 , PO DOGOVORU ,DELO V DELAVNICI,,"Obvezne izkušnje s področja servisiranja motornih vozil. Od osebe pričakujejo polnoletnost, natančnost, zanesljivost, samoiniciativnost.","5,49 €/h neto"
PROMOCIJA,LJUBLJANA, 10 , Po dogovoru, začasno in občasno delo, 308870 , DECEMBER 2019 ,PROMOCIJA,,"Postani del - promo teama. Predstavljali boste enkratna doživetja in aktivnosti (več info na spl. strani). Urna postavka je odvisna od uspešnosti pri delu, po principu dober zaslužek za dobre (5 €/h bruto + stimulacija). Prijavo, izkušnje ter ime in priimek pošlji na e-naslov, subject: Promocije - ime priimek.","4,22 €/h neto"
POUČEVANJE,LJUBLJANA, 1 , Popoldan, začasno in občasno delo, 308869 , DO JUNIJA 2020 ,POUČEVANJE,,Iščejo plesnega trenerja na področju JAZZ BALETA- za skupino pionirjev in sicer vsak ponedeljek in četrtek od 17:00 do 18:00 ure. Delo poteka v prostorih plesne šole. Obvezno plesno predznanje.,"12,00 €/h neto"
DELO V SKLADIŠČU,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308868 , DLJE ČASA (OBČASNO) ,DELO V SKLADIŠČU,,"Potrebujejo resno, zanesljivo in natančno osebo za delo v skladišču (priprava blaga, pakiranje).","4,65 €/h neto"
STREŽBA HRANE IN PIJAČE,PODKUM, 1 , Med vikendom, začasno in občasno delo, 308867 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Iščejo komunikativno in pridno osebo za strežbo v okrepčevalnici.,"5,00 €/h neto"
POMOČ UPORABNIKOM,SLOVENJ GRADEC, 1 , Izmensko, začasno in občasno delo, 308866 , DLJE ČASA (OBČASNO) ,POMOČ UPORABNIKOM,,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Slovenj Gradec, pošlji na email.","4,22 €/h neto"
